月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
36,2631,11069.594156250001,29124102.225093752,352.8910968750001,928456.4758781252,356.8293750000001,938818.0856250002,97.65000000000964,4793.35,129.39999999999702,1465,4831
37,2585,10697.85234375,27653948.308593754,340.77570312500006,880905.1925781252,350.59062500000005,906276.7656250001,91.00000000001,4708.25,428.19999999999686,1465,4785
38,2541,10348.21321875,26294809.788843747,329.385065625,836967.451753125,344.6231250000001,875687.3606250002,99.25000000001,4626.85,157.69999999999686,1465,4741
39,2496,9996.63525,24951601.584,317.93580000000003,793567.7568000001,338.5200000000001,844945.9200000003,26.10000000001037,4543.6,474.4999999999968,1465,4696
40,2454,9673.9768125,23739939.097875,307.43251875,754439.4010124999,332.8237500000001,816749.4825000002,69.70000000001073,4465.900000000001,230.69999999999675,1465,4654
41,2411,9349.118531249998,22540724.778843746,296.861909375,715734.063503125,326.99187500000005,788377.4106250001,35.60000000001128,4386.35,564.8999999999965,1465,4611
42,2370,9044.535937499999,21435550.171874996,286.95515624999996,680083.7203124999,321.43125000000003,761792.0625000001,21.95000000001164,4310.5,346.5999999999964,1465,4570
43,2330,8752.2421875,20392724.296875,277.45203125,646463.2328125,316.00625,736294.5625,32.45000000001164,4236.5,140.59999999999627,1465,4530
44,2290,8464.7484375,19384273.921875,268.1089062500001,613969.3953125002,310.58125000000007,711231.0625000001,68.95000000001164,4162.5,499.59999999999627,1465,4490
45,2251,8189.06353125,18433582.00884375,259.153409375,583354.324503125,305.29187500000006,687212.0106250001,31.45000000001164,4090.3500000000004,317.59999999999627,1465,4451
46,2213,7924.83646875,17537663.105343748,250.57384062499997,554519.909303125,300.13812500000006,664205.6706250001,21.800000000012005,4020.05,147.2999999999962,1465,4413
47,2175,7664.94140625,16671247.55859375,242.138671875,526651.611328125,294.98437500000006,641591.0156250001,41.85000000001219,3949.75,529.6999999999962,1465,4375
48,2139,7422.721031249999,15877200.285843749,234.280659375,501126.330403125,290.10187500000006,620527.9106250001,91.60000000001219,3883.15,382.1999999999962,1465,4339
49,2103,7184.38865625,15108769.344093751,226.55224687500004,476439.3751781251,285.21937500000007,599816.3456250002,74.75000000001228,3816.55,245.4999999999959,1465,4303
50,2068,6956.404125,14385843.7305,219.16276249999999,453228.59284999996,280.4725,580017.13,91.30000000001246,3751.8,119.59999999999604,1465,4268
51,2033,6732.09459375,13686348.309093751,211.89577812500005,430784.1169281251,275.72562500000004,560550.195625,43.10000000001264,3687.05,4.19999999999618,1465,4233
52,1998,6511.4600625,13009897.204875,204.75129375,409093.0849125,270.97875000000005,541415.5425000001,30.150000000012824,3622.3,422.59999999999627,1465,4198
53,1965,6306.79921875,12392860.46484375,198.12726562500004,389320.07695312507,266.503125,523678.640625,52.450000000013006,3561.25,328.1999999999964,1465,4165
54,1932,6105.405375,11795643.184500001,191.61213750000002,370194.64965000004,262.02750000000003,506237.13000000006,13.700000000013006,3500.2000000000003,243.6999999999964,1465,4132
55,1900,5913.234375,11235145.3125,185.3984375,352257.03125,257.68750000000006,489606.2500000001,13.900000000013279,3441.0,169.09999999999627,1465,4100
56,1869,5729.99821875,10709366.67084375,179.47656562500003,335441.7011531251,253.48312500000003,473759.96062500007,54.90000000001328,3383.65,104.09999999999627,1465,4069
57,1838,5549.6450625,10200247.624875,173.65079375,319170.15891249996,249.27875000000006,458174.3425000001,38.55000000001337,3326.3,48.39999999999617,1465,4038
58,1808,5377.85475,9723161.388,168.10445000000004,303932.84560000006,245.21000000000004,443339.68000000005,64.85000000001355,3270.8,1.9999999999961915,1465,4008
59,1777,5203.17459375,9246041.25309375,162.467778125,288705.24172812497,241.00562500000007,428266.9956250001,35.65000000001373,3213.4500000000003,465.3999999999961,1465,3977
60,1748,5042.374125,8814069.9705,157.2817625,274928.52085000003,237.07250000000005,414402.7300000001,49.100000000014006,3159.8,437.29999999999586,1465,3948
61,1719,4884.09665625,8395762.15209375,152.179846875,261597.156778125,233.13937500000003,400766.58562500007,8.900000000014188,3106.15,417.8999999999958,1465,3919
62,1691,4733.67103125,8004637.71384375,147.333659375,249141.218003125,229.34187500000007,387817.11062500015,15.050000000014279,3054.3500000000004,407.19999999999567,1465,3891
63,1664,4590.84525,7639166.496,142.7348,237510.7072,225.68000000000004,375531.5200000001,69.40000000001464,3004.4,404.89999999999566,1465,3864
64,1637,4450.20646875,7284987.989343749,138.20884062500002,226247.87210312503,222.01812500000005,363443.6706250001,73.80000000001473,2954.4500000000003,410.69999999999544,1465,3837
65,1610,4311.754687500001,6941925.046875001,133.75578125,215346.80781250002,218.35625000000002,351553.5625,28.250000000015007,2904.5,424.59999999999536,1465,3810
66,1584,4180.4977499999995,6621908.435999999,129.53655,205185.8952,214.83000000000004,340290.7200000001,32.75000000001501,2856.4,446.59999999999536,1465,3784
67,1559,4056.20165625,6323618.38209375,125.543346875,195722.077778125,211.43937500000004,329633.9856250001,89.1500000000151,2810.15,476.39999999999526,1465,3759
68,1535,3938.64140625,6045814.55859375,121.768671875,186914.911328125,208.18437500000002,319563.015625,99.30000000001519,2765.75,37.79999999999518,1465,3735
69,1510,3818.0203125,5765210.671875,117.89796874999999,178025.9328125,204.79375000000002,309238.5625,65.05000000001519,2719.5,82.29999999999518,1465,3710
70,1486,3703.9880625,5504126.260875,114.24089375,169761.9681125,201.53875000000002,299486.5825,84.55000000001519,2675.1,134.29999999999518,1465,3686
71,1462,3591.6838125,5251041.733875,110.64141875000001,161757.75421250003,198.28375000000005,289890.8425000001,59.6500000000151,2630.7000000000003,193.4999999999951,1465,3662
72,1439,3485.68040625,5015894.10459375,107.24597187500001,154326.953528125,195.16437500000004,280841.5356250001,90.35000000001537,2588.15,259.89999999999486,1465,3639
73,1416,3381.264,4787869.824,103.903425,147127.2498,192.04500000000002,271935.72000000003,78.50000000001546,2545.6,333.19999999999476,1465,3616
74,1393,3278.4345937499997,4566859.389093749,100.613778125,140154.992928125,188.92562500000005,263173.39562500006,24.10000000001537,2503.05,413.39999999999475,1465,3593
75,1372,3185.932875,4371099.9045,97.65638750000001,133984.56365000003,186.07750000000004,255298.33000000005,27.150000000015552,2464.2000000000003,41.19999999999459,1465,3572
76,1351,3094.75415625,4181012.86509375,94.74309687499999,127997.92387812499,183.229375,247542.885625,91.35000000001583,2425.35,134.59999999999445,1465,3551
77,1329,3000.65259375,3987867.29709375,91.73837812500001,121920.30452812501,180.24562500000002,239546.435625,16.700000000015734,2384.65,234.29999999999438,1465,3529
78,1308,2912.182875,3809135.2005,88.9153875,116301.32685,177.39750000000004,232035.93000000005,1.3500000000158252,2345.8,340.59999999999417,1465,3508
79,1289,2833.27884375,3652096.42959375,86.399253125,111368.637278125,174.82062500000004,225343.78562500005,47.15000000001601,2310.65,2.3999999999941792,1465,3489
80,1269,2751.3919687499997,3491516.4083437496,83.78969062499999,106329.11740312498,172.10812500000003,218405.21062500004,57.8000000000161,2273.65,120.69999999999408,1465,3469
81,1249,2670.70509375,3335710.6620937497,81.220128125,101443.940028125,169.39562500000002,211575.13562500002,31.45000000001619,2236.65,244.99999999999403,1465,3449
82,1230,2595.1640625,3192051.796875,78.81609375000001,96943.7953125,166.81875000000002,205187.06250000003,68.10000000001628,2201.5,375.299999999994,1465,3430
83,1212,2524.597875,3059812.6245,76.57188750000002,92805.12765000002,164.37750000000003,199225.53000000003,69.60000000001628,2168.2000000000003,68.29999999999404,1465,3412
84,1193,2451.16584375,2924240.85159375,74.238153125,88566.11667812499,161.80062500000003,193028.14562500003,37.80000000001655,2133.05,209.6999999999939,1465,3393
85,1175,2382.59765625,2799552.24609375,72.060546875,84671.142578125,159.35937500000003,187247.26562500003,70.85000000001673,2099.75,356.7999999999939,1465,3375
86,1158,2318.7313125,2685090.859875,70.03366875,81098.98841250001,157.05375000000004,181868.24250000005,70.60000000001673,2068.3,71.79999999999382,1465,3358
87,1140,2252.053125,2567340.5625,67.91906250000001,77427.73125000001,154.6125,176258.25,38.90000000001692,2035.0,229.39999999999378,1465,3340
88,1123,2189.97178125,2459338.31034375,65.951684375,74063.741553125,152.30687500000005,171040.62062500004,73.90000000001692,2003.5500000000002,392.3999999999937,1465,3323
89,1107,2132.33428125,2360494.04934375,64.126434375,70987.962853125,150.13687500000003,166201.52062500003,77.4500000000171,1973.95,128.19999999999368,1465,3307
